stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25,combo_26,combo_27,combo_28,combo_29,combo_30,combo_31,combo_32,combo_33,combo_34,combo_35,combo_36,combo_37,combo_38,combo_39,combo_40,combo_41,combo_42,combo_43,combo_44,combo_45,combo_46,combo_47,combo_48,combo_49,combo_50,combo_51,combo_52,combo_53,combo_54,combo_55,combo_56,combo_57,combo_58,combo_59,combo_60,combo_61,combo_62,combo_63,combo_64,combo_65,combo_66,combo_67,combo_68,combo_69,combo_70,combo_71,combo_72,combo_73,combo_74,combo_75,combo_76,combo_77,combo_78,combo_79,combo_80,combo_81,combo_82,combo_83,combo_84,combo_85,combo_86,combo_87,combo_88,combo_89,combo_90,combo_91,combo_92,combo_93,combo_94,combo_95,combo_96,combo_97,combo_98,combo_99,combo_100
trough,set001-A3_143.txt,01,34,35,35,36,36,36,36,36,36,36,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
speed,set001-A3_143.txt,01,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.69,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.69,0.69,0.69,0.65,0.65,0.65,0.65,0.65,0.69,0.69,0.69,0.69,0.69,0.65,0.65,0.65,0.65,0.69,0.69,0.69,0.69,0.69,0.69,0.65,0.65,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.65,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
distance,set001-A3_143.txt,01,15.71,16.34,16.34,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.34,16.34,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96
trough,set001-A4_179.txt,01,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
speed,set001-A4_179.txt,01,0.36,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35
distance,set001-A4_179.txt,01,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51
trough,set001-A4_92.txt,01,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,67,68,68,68,68,68,68,68,68,67,67,68,68,68,68,68,68,67,67,67,67
speed,set001-A4_92.txt,01,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
distance,set001-A4_92.txt,01,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.33,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.33,38.33,38.95,38.95,38.95,38.95,38.95,38.95,38.33,38.33,38.33,38.33
trough,set001-B1_62.txt,01,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21003,21003,21004,21004,21004,21004,21004,21004,21004,21003,21003,21003,21004,21004,21004,21004,21004,21003,21003,21003,21003,21003,21004,21004,21004,21004,21003,21003,21003,21003,21003,21003,21004,21004,21003,21003,21003,21003,21003,21003,21002,21000,21004,21003,21003,21003,21003,21003,21002,21002,21000,20993,21003,21003,21003,21003,21003,21002,21000,21000,20993,20986
speed,set001-B1_62.txt,01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
distance,set001-B1_62.txt,01,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13192.42,13192.42,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13192.42,13192.42,13192.42,13193.04,13193.04,13193.04,13193.04,13193.04,13192.42,13192.42,13192.42,13192.42,13192.42,13193.04,13193.04,13193.04,13193.04,13192.42,13192.42,13192.42,13192.42,13192.42,13192.42,13193.04,13193.04,13192.42,13192.42,13192.42,13192.42,13192.42,13192.42,13191.79,13190.53,13193.04,13192.42,13192.42,13192.42,13192.42,13192.42,13191.79,13191.79,13190.53,13184.88,13192.42,13192.42,13192.42,13192.42,13192.42,13191.79,13190.53,13190.53,13184.88,13181.11
trough,set001-B3_202.txt,01,3698,3701,3706,3708,3712,3720,3721,3723,3724,3729,3701,3708,3709,3717,3720,3723,3723,3724,3729,3733,3709,3717,3720,3721,3723,3724,3729,3733,3735,3737,3719,3721,3723,3724,3728,3730,3733,3736,3742,3743,3721,3723,3724,3729,3730,3735,3737,3742,3743,3750,3723,3728,3729,3733,3735,3742,3742,3744,3750,3760,3729,3733,3735,3737,3742,3744,3750,3760,3764,3779,3733,3736,3742,3743,3746,3755,3760,3774,3789,3796,3736,3742,3744,3750,3755,3764,3779,3789,3796,3820,3742,3746,3750,3760,3764,3789,3796,3804,3820,3853
