stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set012-A1_142.txt,12,198,186,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184
speed,set012-A1_142.txt,12,0.94,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
distance,set012-A1_142.txt,12,119.38,112.47,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84,111.84
trough,set012-A1_282.txt,12,1504,1537,1519,2004,2003,1516,2264,2003,2001,2004,2004,2003,2009,2004,2004,2001,2004,2004,2004,2004,2004,2004,2004,2004,2004
speed,set012-A1_282.txt,12,0.37,0.43,0.36,0.39,0.38,0.36,0.93,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
distance,set012-A1_282.txt,12,933.65,955.02,943.71,1249.06,1248.43,941.82,1412.42,1248.43,1247.18,1249.69,1249.06,1248.43,1252.83,1249.69,1249.69,1247.18,1249.69,1249.69,1249.69,1249.69,1249.69,1249.69,1249.69,1249.69,1249.69
trough,set012-A1_33.txt,12,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649
speed,set012-A1_33.txt,12,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
distance,set012-A1_33.txt,12,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48,1662.48
trough,set012-A1_47.txt,12,25,26,33,23,15,28,26,17,13,9,20,16,13,9,6,13,9,6,6,6,7,6,6,6,6
speed,set012-A1_47.txt,12,1.69,1.65,3.25,2.58,4.76,2.41,2.71,2.1,1.74,0.21,2.07,1.95,3.33,0.21,0,1.74,0.21,0,0,0,0,0,0,0,0
distance,set012-A1_47.txt,12,9.42,10.68,16.34,10.05,5.65,13.19,11.94,6.91,4.4,1.88,8.17,6.28,4.4,1.88,1.26,4.4,1.88,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
trough,set012-A1_66.txt,12,10643,10606,10586,10574,10572,10597,10578,10572,10572,10572,10574,10572,10572,10572,10572,10572,10572,10572,10572,10572,10572,10572,10572,10572,10572
speed,set012-A1_66.txt,12,0.44,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
distance,set012-A1_66.txt,12,6685.74,6662.49,6649.93,6642.39,6641.13,6656.84,6644.9,6641.13,6641.13,6641.13,6642.39,6641.13,6641.13,6641.13,6641.13,6641.13,6641.13,6641.13,6641.13,6641.13,6641.13,6641.13,6641.13,6641.13,6641.13
