stat,set,total,no_change,small_changes,large_changes,large_prop,large_cIDs
trough,set004,1,0,0,1,1.0,['B3_176']
speed,set004,1,0,0,1,1.0,['B3_176']
distance,set004,1,0,0,1,1.0,['B3_176']
trough,set007,1,0,0,1,1.0,['A4_48']
speed,set007,1,0,0,1,1.0,['A4_48']
distance,set007,1,0,0,1,1.0,['A4_48']
trough,set010,2,0,0,2,1.0,"['A4_113', 'A4_54']"
speed,set010,2,0,0,2,1.0,"['A4_113', 'A4_54']"
distance,set010,2,0,0,2,1.0,"['A4_113', 'A4_54']"
trough,set011,3,0,0,3,1.0,"['A4_123', 'B2_18', 'B2_187']"
speed,set011,3,0,0,3,1.0,"['A4_123', 'B2_18', 'B2_187']"
distance,set011,3,0,0,3,1.0,"['A4_123', 'B2_18', 'B2_187']"
trough,set013,4,0,0,4,1.0,"['A1_22', 'A1_419', 'A4_153', 'A4_41']"
speed,set013,4,0,0,4,1.0,"['A1_22', 'A1_419', 'A4_153', 'A4_41']"
distance,set013,4,0,0,4,1.0,"['A1_22', 'A1_419', 'A4_153', 'A4_41']"
trough,set015,4,0,0,4,1.0,"['A1_211', 'A1_31', 'A1_335', 'A1_395']"
speed,set015,4,0,0,4,1.0,"['A1_211', 'A1_31', 'A1_335', 'A1_395']"
distance,set015,4,0,0,4,1.0,"['A1_211', 'A1_31', 'A1_335', 'A1_395']"
trough,set016,1,0,0,1,1.0,['B3_108']
speed,set016,1,0,1,0,0.0,[None]
distance,set016,1,0,1,0,0.0,[None]
