ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes,tested
176,set004-2-20-2020-B3_176.txt,T1,B-3,B,3,4,0.6374543959983040,968.8000000000000,82.30730000000000,73.31999999999970,545.3100000000000,0.41272776071332700,2347.3100000000000,1.3658695652172800,2020-02-20,10:11:00,10:43:00,1920.0,F,Lake Wales,Polk,Polk Ave,K.elegans,N,,,0.058000000000000000,Y,27.896740300000000,-81.58046540000000,75.0,7.5,3.28,8.63,12.08,L,,yes
48,set007-2-25-2020-A4_48.txt,T1,A-4,A,4,7,0.5596582121982430,954.4299999999970,28.90180000000000,120.5099999999980,462.619999999999,0.4970989583333320,1920.0,1.2319607843088000,2020-02-25,15:31:00,16:03:00,1920.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,,,25.491362,-80.485821,2.0,6.05,3.37,8.45,11.71,L,wings torn at the end,yes
113,set010-2-28-2020-A4_113.txt,T1,A-4,A,4,10,0.4888947214654410,70.0,25.76030000000000,0.0,27.19000000000050,0.029071819854391700,2407.8300000000000,1.2566,2020-02-28,11:26:00,11:57:00,1860.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.037000000000000000,N,25.1000151,-80.437522,,5.63,3.01,8.64,11.48,L,,yes
54,set010-2-28-2020-A4_54.txt,T1,A-4,A,4,10,0.6636475339475000,36.030000000000700,21.99050000000000,0.0,24.829999999999900,0.016835583217685400,2140.1100000000000,1.3368085106401600,2020-02-28,12:02:00,12:36:00,2040.0,F,Lake Placid,Highlands,110N Main,K.elegans,N,,,0.094,Y,27.298631,-81.36615,89.0,6.44,3.38,9.42,12.99,L,,yes
123,set011-3-03-2020-A4_123.txt,T2,A-4,A,4,11,0.4875746455595550,81.99000000000040,16.335800000000000,0.0,38.76000000000020,0.0339319044327923,2416.31,1.28224489795916,2020-03-03,8:46:00,09:22:00,2160.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,N,,,0.039,N,25.1820931,-80.36319380000000,,6.13,2.99,7.43,10.56,L,,yes
18,set011-3-03-2020-B2_18.txt,T2,B-2,B,2,11,0.6497383899992380,436.1800000000000,35.1848,74.69000000000050,341.8100000000000,0.198886512760418,2193.11,1.3962222222227900,2020-03-03,10:06:00,10:38:00,1920.0,M,Key Largo,Key Largo,JP,C. corindum,N,,,0.045,N,25.1284578,-80.4080913,,6.08,2.97,7.8,10.95,L,,yes
187,set011-3-03-2020-B2_187.txt,T2,B-2,B,2,11,0.5874732888810470,106.56000000000000,30.158400000000000,0.0,59.01000000000020,0.04646477859899270,2293.35,1.3962222222227900,2020-03-03,9:29:00,10:01:00,1920.0,F,Leesburg,Lake,Mount & 8th,K.elegans,N,,,0.087,Y,28.7963435,-81.8778849,196.0,6.14,3.66,8.79,12.14,L,,yes
22,set013-3-05-2020-A1_22.txt,T2,A-1,A,1,13,0.5257834515981040,1064.08,22.61880000000000,0.0,1006.5700000000000,0.4776735813398100,2227.63,1.231960784313200,2020-03-05,9:48:00,10:22:00,2040.0,M,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.046,N,25.27348850000000,-80.3040957,,5.75,2.94,8.3,11.4,L,,yes
419,set013-3-05-2020-A1_419.txt,T2,A-1,A,1,13,0.3899361359706220,1732.5600000000000,16.964100000000000,106.55999999999900,1427.7400000000000,0.7934165876712140,2183.670000000000,0.7953164556953240,2020-03-05,10:25:00,11:00:00,2100.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,N,,,0.041000000000000000,N,25.1820931,-80.36319380000000,,6.09,3.08,8.05,11.21,L,wings torn at the end,yes
153,set013-3-05-2020-A4_153.txt,T2,A-4,A,4,13,0.7282262509838470,952.1399999999990,86.70540000000000,63.4300000000003,379.62000000000000,0.4357321007711140,2185.15,1.3962222222227900,2020-03-05,10:27:00,11:00:00,1980.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.029000000000000000,N,25.491362,-80.485821,,5.32,2.57,7.47,10.35,L,,yes
41,set013-3-05-2020-A4_41.txt,T2,A-4,A,4,13,0.5005393791362030,411.74999999999900,38.32630000000000,66.96999999999940,281.0700000000000,0.18480783127392800,2227.9900000000000,1.3368085106375700,2020-03-05,9:50:00,10:22:00,1920.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.12300000000000000,Y,25.491362,-80.485821,255.0,7.47,3.82,9.66,13.31,L,,yes
211,set015-3-09-2020-A1_211.txt,T2,A-1,A,1,15,0.5857687224862390,1283.090000000000,18.220700000000000,275.6400000000000,997.0200000000000,0.5466959808094630,2346.990000000000,1.3368085106375700,2020-03-09,10:32:00,11:09:00,2220.0,F,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.073,Y,25.1000151,-80.437522,156.0,7.7,3.36,9.15,12.65,L,,yes
31,set015-3-09-2020-A1_31.txt,T2,A-1,A,1,15,0.5767748206775090,344.91999999999800,170.26929999999900,64.93000000000030,190.60999999999900,0.16178008752222000,2132.0300000000000,1.3089583333345200,2020-03-09,12:59:00,13:32:00,1980.0,F,North Key Largo,North Key Largo,Carysfort,C. corindum,N,,,0.075,Y,25.2565615,-80.3108042,114.0,8.12,3.25,8.28,11.71,L,,yes
335,set015-3-09-2020-A1_335.txt,T2,A-1,A,1,15,0.5313093374815450,1258.0700000000000,29.53010000000000,104.21999999999900,790.0200000000000,0.588336801739658,2138.350000000000,1.3962222222199600,2020-03-09,11:48:00,12:23:00,2100.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,BUG: paint on antennae - will never fly,0.038,N,25.19515,-80.345916,,5.54,3.01,7.68,10.57,L,,yes
