ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,recording_duration,max_speed
318,set001-2-17-2020-A2_318.txt,T1,A-2,A,2,01,0.31,6101.22,1818.3,0,6101.22,0.97,6300.43,0.48
371,set004-2-20-2020-A4_371.txt,T1,A-4,A,4,04,0.22,2299.97,503.27,0,2299.97,0.92,2492.19,1.34
176,set004-2-20-2020-B3_176.txt,T1,B-3,B,3,04,0.64,206.18,82.31,73.32,73.32,0.09,2347.31,1.37
48,set007-2-25-2020-A4_48.txt,T1,A-4,A,4,07,0.56,41.63,28.9,0,30.72,0.02,1920.0,1.23
113,set010-2-28-2020-A4_113.txt,T1,A-4,A,4,10,0.49,70.0,25.76,0,27.19,0.03,2407.83,1.26
54,set010-2-28-2020-A4_54.txt,T1,A-4,A,4,10,0.66,36.03,21.99,0,24.83,0.02,2140.11,1.34
123,set011-3-03-2020-A4_123.txt,T2,A-4,A,4,11,0.49,1275.32,16.34,0,1232.09,0.53,2416.31,1.28
18,set011-3-03-2020-B2_18.txt,T2,B-2,B,2,11,0.65,726.01,35.18,74.69,631.64,0.33,2193.11,1.4
187,set011-3-03-2020-B2_187.txt,T2,B-2,B,2,11,0.59,106.56,30.16,0,59.01,0.05,2293.35,1.4
22,set013-3-05-2020-A1_22.txt,T2,A-1,A,1,13,0.53,39.24,22.62,0,15.17,0.02,2227.63,1.23
419,set013-3-05-2020-A1_419.txt,T2,A-1,A,1,13,0.39,1732.56,16.96,247.27,1427.74,0.79,2183.67,0.8
153,set013-3-05-2020-A4_153.txt,T2,A-4,A,4,13,0.73,233.9,86.71,63.43,108.81,0.11,2185.15,1.4
41,set013-3-05-2020-A4_41.txt,T2,A-4,A,4,13,0.5,987.71,38.33,66.97,857.03,0.44,2227.99,1.34
211,set015-3-09-2020-A1_211.txt,T2,A-1,A,1,15,0.59,1283.09,18.22,275.64,997.02,0.55,2346.99,1.34
31,set015-3-09-2020-A1_31.txt,T2,A-1,A,1,15,0.58,344.92,170.27,64.93,190.61,0.16,2132.03,1.31
335,set015-3-09-2020-A1_335.txt,T2,A-1,A,1,15,0.53,1258.07,29.53,104.22,790.02,0.59,2138.35,1.4
395,set015-3-09-2020-A1_395.txt,T2,A-1,A,1,15,0.67,325.74,25.76,269.36,269.36,0.14,2267.03,1.37
7,set015-3-09-2020-B1_7.txt,T2,B-1,B,1,15,0.27,39345.67,10480.67,0,20566.25,0.99,39711.21,0.55
108,set016-3-10-2020-B3_108.txt,T2,B-3,B,3,16,0.54,46.11,18.85,0,31.4,0.02,2217.95,1.37
